trick_spear-name|花枪
trick_spear-description|持矛时按键施展花枪。可在选项中启用物体交互与格挡。
trick_spear.input.twirl|枪花
trick_spear.options.tab.auto_twirl|自动花枪
trick_spear.options.tab.combat|战斗
trick_spear.options.tab.debug|调试
trick_spear.options.auto_twirl.title|自动花枪：特定行动时自动施展一次
trick_spear.options.auto_twirl.enable|总开关
trick_spear.options.auto_twirl.belly_slide|滑行
trick_spear.options.auto_twirl.turn_skid|转身
trick_spear.options.auto_twirl.slide_roll|翻滚
trick_spear.options.auto_twirl.backflip|后空翻
trick_spear.options.combat.title|战斗：施展花枪时的交互
trick_spear.options.combat.object_interact|小型物体交互
trick_spear.options.combat.object_interact_desc|旋转时，矛头可击落悬挂物并扫开轻型物体。
trick_spear.options.combat.parry_window|格挡
trick_spear.options.combat.parry_window_desc|每次旋转开始时，格挡并弹开远程攻击。
trick_spear.options.combat.parry_frames|格挡窗口（帧）
trick_spear.options.debug.title|调试
trick_spear.options.debug.logging|启用调试日志
